,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
30065,0.487,0.958,3,-5.6,1,0.103,0.00676,0.0788,0.23,0.249,137.939,audio_features,5imTGKlnoxJMF2nqqNDxZg,spotify:track:5imTGKlnoxJMF2nqqNDxZg,https://api.spotify.com/v1/tracks/5imTGKlnoxJMF2nqqNDxZg,https://api.spotify.com/v1/audio-analysis/5imTGKlnoxJMF2nqqNDxZg,254344,4
14643,0.794,0.741,1,-4.985,1,0.255,0.0375,0.0038799999999999,0.143,0.365,157.963,audio_features,47WaynXajQu3fPsQo05iXM,spotify:track:47WaynXajQu3fPsQo05iXM,https://api.spotify.com/v1/tracks/47WaynXajQu3fPsQo05iXM,https://api.spotify.com/v1/audio-analysis/47WaynXajQu3fPsQo05iXM,157984,4
40006,0.564,0.953,10,-2.886,1,0.0482,0.0236,0.0,0.165,0.573,150.026,audio_features,7uGBB2kOMToO0KArfaWn7e,spotify:track:7uGBB2kOMToO0KArfaWn7e,https://api.spotify.com/v1/tracks/7uGBB2kOMToO0KArfaWn7e,https://api.spotify.com/v1/audio-analysis/7uGBB2kOMToO0KArfaWn7e,192800,3
15389,0.497,0.433,6,-7.126,0,0.235,0.0534,0.0,0.0545,0.447,78.479,audio_features,5YbrqNUUleF39Ai3b3ruQy,spotify:track:5YbrqNUUleF39Ai3b3ruQy,https://api.spotify.com/v1/tracks/5YbrqNUUleF39Ai3b3ruQy,https://api.spotify.com/v1/audio-analysis/5YbrqNUUleF39Ai3b3ruQy,258120,4
2792,0.634,0.701,6,-8.635,0,0.0365,0.012,0.206,0.0933,0.0388,120.039,audio_features,2e0NllT8BGRDy1eddPCvgp,spotify:track:2e0NllT8BGRDy1eddPCvgp,https://api.spotify.com/v1/tracks/2e0NllT8BGRDy1eddPCvgp,https://api.spotify.com/v1/audio-analysis/2e0NllT8BGRDy1eddPCvgp,198156,4
41654,0.502,0.8959999999999999,0,-2.724,0,0.0478,0.022,0.0,0.664,0.0921,150.083,audio_features,3bHcQsPXda18ri3WAO1xIs,spotify:track:3bHcQsPXda18ri3WAO1xIs,https://api.spotify.com/v1/tracks/3bHcQsPXda18ri3WAO1xIs,https://api.spotify.com/v1/audio-analysis/3bHcQsPXda18ri3WAO1xIs,239630,4
5174,0.8079999999999999,0.6629999999999999,11,-5.57,1,0.644,0.0152,0.0,0.0925,0.551,158.236,audio_features,1U5NRWwfFFSHiMwHNpQEYk,spotify:track:1U5NRWwfFFSHiMwHNpQEYk,https://api.spotify.com/v1/tracks/1U5NRWwfFFSHiMwHNpQEYk,https://api.spotify.com/v1/audio-analysis/1U5NRWwfFFSHiMwHNpQEYk,158010,3
2983,0.706,0.401,7,-12.924,1,0.0361,0.057,0.297,0.1119999999999999,0.29,119.979,audio_features,63eHnKNFN2422yXFTWX7i1,spotify:track:63eHnKNFN2422yXFTWX7i1,https://api.spotify.com/v1/tracks/63eHnKNFN2422yXFTWX7i1,https://api.spotify.com/v1/audio-analysis/63eHnKNFN2422yXFTWX7i1,258116,1
22960,0.804,0.721,1,-10.261,1,0.0488,0.000294,0.69,0.104,0.534,128.0,audio_features,7afhtZ0n7PvL1fm6qvUZv1,spotify:track:7afhtZ0n7PvL1fm6qvUZv1,https://api.spotify.com/v1/tracks/7afhtZ0n7PvL1fm6qvUZv1,https://api.spotify.com/v1/audio-analysis/7afhtZ0n7PvL1fm6qvUZv1,233672,4
15732,0.599,0.509,10,-5.895,1,0.148,0.0446,0.00367,0.146,0.04,134.966,audio_features,778sZK80OLDL8OcZgfeNkI,spotify:track:778sZK80OLDL8OcZgfeNkI,https://api.spotify.com/v1/tracks/778sZK80OLDL8OcZgfeNkI,https://api.spotify.com/v1/audio-analysis/778sZK80OLDL8OcZgfeNkI,199046,4
